"Date","Price","Open","High","Low","Change %"
"07/02/2018","1.050","1.050","1.050","1.050","0.00%"
"06/29/2018","1.050","1.050","1.050","1.050","0.00%"
"06/28/2018","1.050","1.050","1.050","1.050","0.00%"
"06/27/2018","1.050","1.050","1.050","1.050","0.00%"
"06/26/2018","1.050","1.050","1.050","1.050","0.00%"
"06/25/2018","1.050","1.050","1.050","1.050","0.00%"
"06/22/2018","1.050","1.050","1.050","1.050","0.00%"
"06/21/2018","1.050","1.050","1.050","1.050","0.00%"
"06/20/2018","1.050","1.050","1.050","1.050","0.00%"
"06/19/2018","1.050","1.050","1.050","1.050","0.00%"
"06/18/2018","1.050","1.050","1.050","1.050","0.00%"
"06/15/2018","1.050","1.050","1.050","1.050","0.00%"
"06/14/2018","1.050","1.050","1.050","1.050","0.00%"
"06/13/2018","1.050","1.050","1.050","1.050","-8.70%"
"06/12/2018","1.150","1.150","1.150","1.150","0.00%"
"06/11/2018","1.150","1.150","1.150","1.150","0.00%"
"06/08/2018","1.150","1.150","1.150","1.150","0.00%"
"06/07/2018","1.150","1.150","1.150","1.150","0.00%"
"06/06/2018","1.150","1.150","1.150","1.150","0.00%"
"06/05/2018","1.150","1.150","1.150","1.150","0.00%"
"06/04/2018","1.150","1.150","1.150","1.150","0.00%"
"06/01/2018","1.150","1.150","1.150","1.150","0.00%"
"05/31/2018","1.150","1.150","1.150","1.150","0.00%"
"05/30/2018","1.150","1.150","1.150","1.150","0.00%"
"05/29/2018","1.150","1.150","1.150","1.150","0.00%"
"05/28/2018","1.150","1.150","1.150","1.150","0.00%"
"05/25/2018","1.150","1.150","1.150","1.150","0.00%"
"05/24/2018","1.150","1.150","1.150","1.150","-4.17%"
"05/23/2018","1.200","1.200","1.200","1.200","0.00%"
"05/22/2018","1.200","1.200","1.200","1.200","0.00%"
"05/21/2018","1.200","1.200","1.200","1.200","4.35%"
"05/20/2018","1.150","1.150","1.150","1.150","0.00%"
"05/18/2018","1.150","1.150","1.150","1.150","0.00%"
"05/17/2018","1.150","1.150","1.150","1.150","0.00%"
"05/16/2018","1.150","1.150","1.150","1.150","0.00%"
"05/15/2018","1.150","1.150","1.150","1.150","0.00%"
"05/14/2018","1.150","1.150","1.150","1.150","0.00%"
"05/11/2018","1.150","1.150","1.150","1.150","0.00%"
"05/10/2018","1.150","1.150","1.150","1.150","0.00%"
"05/09/2018","1.150","1.150","1.150","1.150","0.00%"
"05/08/2018","1.150","1.150","1.150","1.150","0.00%"
"05/07/2018","1.150","1.150","1.150","1.150","0.00%"
"05/04/2018","1.150","1.150","1.150","1.150","0.00%"
"05/03/2018","1.150","1.150","1.150","1.150","0.00%"
"05/02/2018","1.150","1.150","1.150","1.150","0.00%"
"04/30/2018","1.150","1.150","1.150","1.150","0.00%"
"04/27/2018","1.150","1.150","1.150","1.150","4.55%"
"04/26/2018","1.100","1.100","1.100","1.100","0.00%"
"04/25/2018","1.100","1.100","1.100","1.100","0.00%"
"04/24/2018","1.100","1.100","1.100","1.100","0.00%"
"04/23/2018","1.100","1.100","1.100","1.100","0.00%"
"04/20/2018","1.100","1.100","1.100","1.100","0.00%"
"04/19/2018","1.100","1.100","1.100","1.100","0.00%"
"04/18/2018","1.100","1.100","1.100","1.100","0.00%"
"04/17/2018","1.100","1.100","1.100","1.100","0.00%"
"04/16/2018","1.100","1.100","1.100","1.100","0.00%"
"04/13/2018","1.100","1.100","1.100","1.100","0.00%"
"04/12/2018","1.100","1.100","1.100","1.100","0.00%"
"04/11/2018","1.100","1.100","1.100","1.100","0.00%"
"04/10/2018","1.100","1.100","1.100","1.100","0.00%"
"04/09/2018","1.100","1.100","1.100","1.100","0.00%"
"04/06/2018","1.100","1.100","1.100","1.100","0.00%"
"04/05/2018","1.100","1.100","1.100","1.100","0.00%"
"04/04/2018","1.100","1.100","1.100","1.100","-4.35%"
"04/03/2018","1.150","1.150","1.150","1.150","0.00%"
"03/29/2018","1.150","1.150","1.150","1.150","0.00%"
"03/28/2018","1.150","1.150","1.150","1.150","0.00%"
"03/27/2018","1.150","1.150","1.150","1.150","-4.17%"
"03/26/2018","1.200","1.200","1.200","1.200","0.00%"
"03/23/2018","1.200","1.200","1.200","1.200","0.00%"
"03/22/2018","1.200","1.200","1.200","1.200","0.00%"
"03/21/2018","1.200","1.200","1.200","1.200","0.00%"
"03/20/2018","1.200","1.200","1.200","1.200","0.00%"
"03/19/2018","1.200","1.200","1.200","1.200","0.00%"
"03/16/2018","1.200","1.200","1.200","1.200","0.00%"
"03/15/2018","1.200","1.200","1.200","1.200","0.00%"
"03/14/2018","1.200","1.200","1.200","1.200","0.00%"
"03/13/2018","1.200","1.200","1.200","1.200","0.00%"
"03/12/2018","1.200","1.200","1.200","1.200","0.00%"
"03/09/2018","1.200","1.200","1.200","1.200","0.00%"
"03/08/2018","1.200","1.200","1.200","1.200","0.00%"
"03/07/2018","1.200","1.200","1.200","1.200","0.00%"
"03/06/2018","1.200","1.200","1.200","1.200","0.00%"
"03/05/2018","1.200","1.200","1.200","1.200","-4.00%"
"03/02/2018","1.250","1.250","1.250","1.250","0.00%"
"03/01/2018","1.250","1.250","1.250","1.250","0.00%"
"02/28/2018","1.250","1.250","1.250","1.250","0.00%"
"02/27/2018","1.250","1.250","1.250","1.250","0.00%"
"02/26/2018","1.250","1.250","1.250","1.250","0.00%"
"02/23/2018","1.250","1.250","1.250","1.250","0.00%"
"02/22/2018","1.250","1.250","1.250","1.250","0.00%"
"02/21/2018","1.250","1.250","1.250","1.250","0.00%"
"02/20/2018","1.250","1.250","1.250","1.250","0.00%"
"02/19/2018","1.250","1.250","1.250","1.250","0.00%"
"02/18/2018","1.250","1.250","1.250","1.250","0.00%"
"02/15/2018","1.250","1.250","1.250","1.250","0.00%"
"02/14/2018","1.250","1.250","1.250","1.250","0.00%"
"02/13/2018","1.250","1.250","1.250","1.250","0.00%"
"02/12/2018","1.250","1.250","1.250","1.250","0.00%"
"02/09/2018","1.250","1.250","1.250","1.250","0.00%"
"02/08/2018","1.250","1.250","1.250","1.250","0.00%"
"02/07/2018","1.250","1.250","1.250","1.250","0.00%"
"02/06/2018","1.250","1.250","1.250","1.250","0.00%"
"02/05/2018","1.250","1.250","1.250","1.250","4.17%"
"02/02/2018","1.200","1.200","1.200","1.200","0.00%"
"02/01/2018","1.200","1.200","1.200","1.200","0.00%"
"01/31/2018","1.200","1.200","1.200","1.200","0.00%"
"01/30/2018","1.200","1.200","1.200","1.200","4.35%"
"01/29/2018","1.150","1.150","1.150","1.150","0.00%"
"01/26/2018","1.150","1.150","1.150","1.150","0.00%"
"01/25/2018","1.150","1.150","1.150","1.150","0.00%"
"01/24/2018","1.150","1.150","1.150","1.150","0.00%"
"01/23/2018","1.150","1.150","1.150","1.150","0.00%"
"01/22/2018","1.150","1.150","1.150","1.150","0.00%"
"01/19/2018","1.150","1.150","1.150","1.150","0.00%"
"01/18/2018","1.150","1.150","1.150","1.150","0.00%"
"01/17/2018","1.150","1.150","1.150","1.150","0.00%"
"01/16/2018","1.150","1.150","1.150","1.150","0.00%"
"01/15/2018","1.150","1.150","1.150","1.150","0.00%"
"01/12/2018","1.150","1.150","1.150","1.150","0.00%"
"01/11/2018","1.150","1.150","1.150","1.150","0.00%"
"01/10/2018","1.150","1.150","1.150","1.150","0.00%"
"01/09/2018","1.150","1.150","1.150","1.150","4.55%"
"01/08/2018","1.100","1.100","1.100","1.100","0.00%"
"01/05/2018","1.100","1.100","1.100","1.100","0.00%"
"01/04/2018","1.100","1.100","1.100","1.100","0.00%"
"01/03/2018","1.100","1.100","1.100","1.100","0.00%"
"01/02/2018","1.100","1.100","1.100","1.100","0.00%"
"12/29/2017","1.100","1.100","1.100","1.100","0.00%"
"12/28/2017","1.100","1.100","1.100","1.100","0.00%"
"12/27/2017","1.100","1.100","1.100","1.100","0.00%"
"12/22/2017","1.100","1.100","1.100","1.100","0.00%"
"12/21/2017","1.100","1.100","1.100","1.100","0.00%"
"12/20/2017","1.100","1.100","1.100","1.100","0.00%"
"12/19/2017","1.100","1.100","1.100","1.100","0.00%"
"12/18/2017","1.100","1.100","1.100","1.100","0.00%"
"12/16/2017","1.100","1.100","1.100","1.100","0.00%"
"12/15/2017","1.100","1.100","1.100","1.100","0.00%"
"12/14/2017","1.100","1.100","1.100","1.100","57.14%"
"12/13/2017","0.700","0.700","0.700","0.700","0.00%"
"12/12/2017","0.700","0.700","0.700","0.700","0.00%"
"12/11/2017","0.700","0.700","0.700","0.700","0.00%"
"12/08/2017","0.700","0.700","0.700","0.700","0.00%"
