"Date","Price","Open","High","Low","Change %"
"10/20/2016","0.47","0.50","0.54","0.44","-2.08%"
"10/19/2016","0.48","0.51","0.51","0.47","-2.04%"
"10/18/2016","0.49","0.52","0.54","0.49","-5.77%"
"10/17/2016","0.52","0.51","0.56","0.50","10.64%"
"10/14/2016","0.47","0.48","0.50","0.46","2.17%"
"10/13/2016","0.46","0.47","0.49","0.44","-6.12%"
"10/12/2016","0.49","0.48","0.50","0.45","2.08%"
"10/11/2016","0.48","0.48","0.52","0.45","-2.04%"
"10/10/2016","0.49","0.46","0.50","0.45","6.52%"
"10/07/2016","0.46","0.42","0.48","0.42","12.20%"
"10/06/2016","0.41","0.43","0.44","0.40","0.00%"
"10/05/2016","0.41","0.41","0.43","0.39","13.89%"
"10/04/2016","0.36","0.33","0.38","0.33","5.88%"
"10/03/2016","0.34","0.33","0.35","0.32","6.25%"
"09/30/2016","0.32","0.32","0.33","0.30","-3.03%"
"09/29/2016","0.33","0.31","0.33","0.30","6.45%"
"09/28/2016","0.31","0.32","0.33","0.30","-3.12%"
"09/27/2016","0.32","0.33","0.34","0.31","-5.88%"
"09/26/2016","0.34","0.35","0.35","0.32","-2.86%"
"09/23/2016","0.35","0.37","0.38","0.34","-2.78%"
"09/22/2016","0.36","0.41","0.41","0.35","-16.28%"
"09/21/2016","0.43","0.41","0.43","0.40","4.88%"
"09/20/2016","0.41","0.42","0.43","0.40","-4.65%"
"09/19/2016","0.43","0.43","0.45","0.41","2.38%"
"09/16/2016","0.42","0.42","0.44","0.40","5.00%"
"09/14/2016","0.40","0.42","0.43","0.39","-2.44%"
"09/13/2016","0.41","0.40","0.42","0.38","2.50%"
"09/12/2016","0.40","0.39","0.41","0.36","5.26%"
"09/09/2016","0.38","0.32","0.39","0.31","22.58%"
"09/08/2016","0.31","0.26","0.31","0.26","19.23%"
"09/07/2016","0.26","0.28","0.31","0.26","-13.33%"
"09/06/2016","0.30","0.33","0.34","0.29","-6.25%"
"09/05/2016","0.32","0.32","0.33","0.31","-3.03%"
"09/02/2016","0.33","0.34","0.34","0.31","3.13%"
"08/31/2016","0.32","0.30","0.32","0.29","10.34%"
"08/30/2016","0.29","0.31","0.33","0.29","-3.33%"
"08/26/2016","0.30","0.32","0.32","0.29","-6.25%"
"08/25/2016","0.32","0.30","0.34","0.30","6.67%"
"08/24/2016","0.30","0.30","0.32","0.28","0.00%"
"08/23/2016","0.30","0.31","0.32","0.29","0.00%"
"08/22/2016","0.30","0.33","0.34","0.30","-11.76%"
"08/19/2016","0.34","0.31","0.35","0.30","9.68%"
"08/18/2016","0.31","0.33","0.35","0.31","-11.43%"
"08/17/2016","0.35","0.35","0.37","0.34","-2.78%"
"08/16/2016","0.36","0.32","0.36","0.31","12.50%"
"08/15/2016","0.32","0.30","0.33","0.29","10.34%"
"08/12/2016","0.29","0.31","0.33","0.29","-3.33%"
"08/11/2016","0.30","0.31","0.32","0.30","-3.23%"
"08/10/2016","0.31","0.32","0.33","0.30","-6.06%"
"08/09/2016","0.33","0.34","0.36","0.33","-2.94%"
"08/08/2016","0.34","0.36","0.38","0.34","-2.86%"
"08/05/2016","0.35","0.35","0.36","0.33","2.94%"
"08/04/2016","0.34","0.37","0.39","0.33","-8.11%"
"08/03/2016","0.37","0.38","0.39","0.37","-5.13%"
"08/02/2016","0.39","0.35","0.40","0.34","18.18%"
"08/01/2016","0.33","0.34","0.34","0.32","0.00%"
"07/29/2016","0.33","0.37","0.39","0.33","-8.33%"
"07/28/2016","0.36","0.37","0.38","0.36","-5.26%"
"07/27/2016","0.38","0.42","0.44","0.38","-9.52%"
"07/26/2016","0.42","0.44","0.45","0.42","-8.70%"
"07/25/2016","0.46","0.50","0.52","0.44","-13.21%"
"07/22/2016","0.53","0.53","0.53","0.51","-1.85%"
"07/21/2016","0.54","0.54","0.59","0.53","3.85%"
"07/20/2016","0.52","0.52","0.55","0.50","-3.70%"
"07/19/2016","0.54","0.54","0.55","0.52","0.00%"
"07/18/2016","0.54","0.56","0.57","0.53","-1.82%"
"07/15/2016","0.55","0.53","0.56","0.52","3.77%"
"07/14/2016","0.53","0.53","0.55","0.51","3.92%"
"07/13/2016","0.51","0.53","0.54","0.50","-5.56%"
"07/12/2016","0.54","0.50","0.57","0.49","10.20%"
"07/11/2016","0.49","0.47","0.50","0.46","0.00%"
"07/08/2016","0.49","0.49","0.51","0.48","-2.00%"
"07/07/2016","0.50","0.50","0.53","0.50","0.00%"
"07/06/2016","0.50","0.50","0.52","0.49","-12.28%"
"07/04/2016","0.57","0.59","0.60","0.57","-3.39%"
"07/01/2016","0.59","0.62","0.62","0.57","-7.81%"
"06/30/2016","0.64","0.67","0.69","0.63","-3.03%"
"06/29/2016","0.66","0.69","0.71","0.66","-5.71%"
"06/28/2016","0.70","0.71","0.72","0.69","0.00%"
"06/27/2016","0.70","0.73","0.75","0.70","-9.09%"
"06/24/2016","0.77","0.79","0.85","0.73","-3.75%"
"06/23/2016","0.80","0.78","0.81","0.76","1.27%"
"06/22/2016","0.79","0.79","0.80","0.77","1.28%"
"06/21/2016","0.78","0.78","0.80","0.77","0.00%"
"06/20/2016","0.78","0.77","0.79","0.76","2.63%"
"06/17/2016","0.76","0.76","0.78","0.75","0.00%"
"06/16/2016","0.76","0.76","0.79","0.75","-2.56%"
"06/15/2016","0.78","0.78","0.80","0.77","-1.27%"
"06/14/2016","0.79","0.78","0.79","0.77","1.28%"
"06/13/2016","0.78","0.76","0.80","0.75","-1.27%"
"06/10/2016","0.79","0.79","0.81","0.76","-2.47%"
"06/09/2016","0.81","0.81","0.82","0.80","-1.22%"
"06/08/2016","0.82","0.83","0.83","0.82","0.00%"
"06/07/2016","0.82","0.85","0.87","0.82","0.00%"
"06/06/2016","0.82","0.81","0.86","0.79","-2.38%"
"06/03/2016","0.84","0.89","0.90","0.83","-4.55%"
"06/02/2016","0.88","0.87","0.91","0.87","1.15%"
"06/01/2016","0.87","0.90","0.90","0.87","-3.33%"
"05/31/2016","0.90","0.88","0.93","0.88","1.12%"
"05/30/2016","0.89","0.88","0.92","0.88","0.00%"
"05/27/2016","0.89","0.90","0.90","0.87","0.00%"
"05/26/2016","0.89","0.90","0.91","0.89","0.00%"
"05/25/2016","0.89","0.90","0.93","0.89","-2.20%"
"05/24/2016","0.91","0.91","0.92","0.89","1.11%"
"05/23/2016","0.90","0.89","0.93","0.88","-1.10%"
"05/20/2016","0.91","0.91","0.94","0.90","-1.09%"
"05/19/2016","0.92","0.93","0.96","0.91","1.10%"
"05/18/2016","0.91","0.93","0.93","0.89","-3.19%"
"05/17/2016","0.94","0.94","0.94","0.94","4.44%"
"05/16/2016","0.90","0.90","0.90","0.90","1.12%"
"05/13/2016","0.89","0.89","0.90","0.89","-1.11%"
"05/12/2016","0.90","0.88","0.90","0.86","3.45%"
"05/11/2016","0.87","0.86","0.89","0.84","1.16%"
"05/10/2016","0.86","0.84","0.87","0.84","2.38%"
"05/09/2016","0.84","0.83","0.89","0.83","0.00%"
"05/06/2016","0.84","0.82","0.87","0.82","-2.33%"
"05/05/2016","0.86","0.86","0.87","0.86","0.00%"
"05/04/2016","0.86","0.83","0.87","0.83","1.18%"
"05/03/2016","0.85","0.88","0.89","0.83","-1.16%"
"05/02/2016","0.86","0.87","0.90","0.85","-1.15%"
"04/29/2016","0.87","0.87","0.92","0.84","3.57%"
"04/28/2016","0.84","0.83","0.86","0.83","-3.45%"
"04/27/2016","0.87","0.82","0.89","0.82","3.57%"
"04/26/2016","0.84","0.83","0.89","0.82","1.20%"
"04/25/2016","0.83","0.82","0.86","0.81","1.22%"
"04/22/2016","0.82","0.81","0.83","0.81","3.80%"
"04/21/2016","0.79","0.77","0.83","0.76","3.95%"
"04/20/2016","0.76","0.76","0.78","0.74","0.00%"
"04/19/2016","0.76","0.75","0.78","0.75","2.70%"
"04/18/2016","0.74","0.72","0.75","0.71","4.23%"
"04/15/2016","0.71","0.74","0.75","0.71","-4.05%"
"04/14/2016","0.74","0.73","0.75","0.71","1.37%"
"04/13/2016","0.73","0.74","0.76","0.73","-1.35%"
"04/12/2016","0.74","0.71","0.75","0.70","5.71%"
"04/11/2016","0.70","0.70","0.72","0.68","0.00%"
"04/08/2016","0.70","0.69","0.71","0.69","2.94%"
"04/07/2016","0.68","0.73","0.73","0.68","-2.86%"
"04/06/2016","0.70","0.70","0.72","0.70","0.00%"
"04/05/2016","0.70","0.71","0.71","0.68","-2.78%"
"04/04/2016","0.72","0.71","0.73","0.71","0.00%"
"04/01/2016","0.72","0.72","0.75","0.72","-2.70%"
"03/31/2016","0.74","0.74","0.77","0.72","45.10%"
